        ,WALNUT    ,EXPENSE                                             ,REPORT    ,                     ,       ,             ,                            ,
19-06-16,07:53 PM  ,ATM                                                 ,"4,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
28-06-16,05:56 PM  ,NET BANKING                                         ,"1,000"   ,CitiBank  3226       ,No     ,UNKNOWN      ,                            ,IMPS Ref no 618017627455
30-06-16,09:54 PM  ,ONE97 COMCTN-PAYTM                                  ,200       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
02-07-16,09:00 PM  ,ONE97 COMCTN-PAYTM                                  ,432.08    ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
02-07-16,09:00 PM  ,FOOD PANDA                                          ,514.08    ,PAYTM  Unknown       ,No     ,FOOD & DRINKS,                            ,Transaction ID: 2449270590
03-07-16,11:38 AM  ,NET BANKING                                         ,"1,360"   ,CitiBank  3226       ,No     ,UNKNOWN      ,                            ,IMPS Ref no 618511900932
03-07-16,11:41 AM  ,NET BANKING                                         ,"2,365"   ,CitiBank  3226       ,No     ,UNKNOWN      ,                            ,IMPS Ref no 618511901073
03-07-16,12:32 PM  ,ONE97 COMCTN-PAYTM                                  ,300       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
03-07-16,02:51 PM  ,ATM                                                 ,"2,200"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
05-07-16,07:23 PM  ,ATM                                                 ,"10,000"  ,CitiBank debit 3226  ,Yes    ,             ,                            ,
05-07-16,07:24 PM  ,ATM                                                 ,"3,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
09-07-16,08:19 PM  ,DRINKING WATER                                      ,80        ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
10-07-16,04:03 PM  ,EBAY                                                ,549       ,CitiBank debit 6302  ,No     ,SHOPPING     ,#Online                     ,Jbl t200a Earphones
10-07-16,11:06 PM  ,BURGERS FOR DINNER                                  ,105       ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
11-07-16,08:32 AM  ,ATM                                                 ,"1,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
13-07-16,09:33 PM  ,DINNER                                              ,315       ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
23-07-16,07:07 AM  ,ATM                                                 ,600       ,CitiBank debit 3226  ,Yes    ,             ,                            ,
